<oov> 1.0	<oov>
دوبھر 1.0	D_D U_U B_H A R
دوجے 1.0	D_D U_U D_Z A_Y
دودھ 1.0	D_D U_U D_D_H
دودھیا 1.0	D_D U_U D_D_H I J A_A
دودھیل 1.0	D_D U_U D_D_H A_Y L
دور 1.0	D_D O R
دوران 1.0	D_D O R A_A N
دورانئے 1.0	D_D O R A_A N I A_Y
دورانیے 1.0	D_D O R A_A N I_I1 A_Y
دوراں 1.0	D_D O R A_A_N
دوربین 1.0	D_D U_U R B I_I1 N
دوردراز 1.0	D_D U_U R D_D A R A_A Z
دوررس 1.0	D_D U_U R R A S
دوروں 1.0	D_D O R O_O_N
دورے 1.0	D_D O R A_Y
دوزخ 1.0	D_D O_O Z A X
دوست 1.0	D_D O_O S T_D
دوسرا 1.0	D_D U_U S R A_A
دوسروں 1.0	D_D U_U S R O_O_N
دوسری 1.0	D_D U_U S R I_I1
دوسرے 1.0	D_D U_U S R A_Y
دوشیزہ 1.0	D_D O_O S_H I_I1 Z A_A
دوعالم 1.0	D_D O_O A_A L A M
دوغلا 1.0	D_D O_O G_G L A_A
دوغلی 1.0	D_D O_O G_G L I_I1
دوغلے 1.0	D_D O_O G_G L A_Y
دولت 1.0	D_D O L A T_D
دولخت 1.0	D_D O_O L A X T_D
دولہا 1.0	D_D U_U L H A_A
دوم 1.0	D_D U V A M
دونوں 1.0	D_D O_O N O_O_N
دوچار 1.0	D_D O_O T_S1 A_A R
دوچند 1.0	D_D O_O T_S1 A N D_D
دوڑ 1.0	D_D O R_R
دوڑائیں 1.0	D_D O R_R A_A A_Y_N
دوڑانے 1.0	D_D O R_R A_A N A_Y
دوڑنے 1.0	D_D O_O R_R N A_Y
دوگانہ 1.0	D_D O_O G A_A N A_A
دوگنا 1.0	D_D U G N A_A
دوں 1.0	D_D U_U_N
دکھ 1.0	D_D U K_H
دکھا 1.0	D_D U K_H K_H A_A
دکھائی 1.0	D_D I K_H A_A I_I1
دکھائیں 1.0	D_D U K_H A_A A_Y_N
دکھائے 1.0	D_D I K_H A_A A_Y
دکھاوے 1.0	D_D I K_H A_A V A_Y
دکھایا 1.0	D_D I K_H A_A J A_A
دکھلا 1.0	D_D I K_H L A_A
دکھنے 1.0	D_D U K_H N A_Y
دکھوں 1.0	D_D U K_H U_U_N
دکھی 1.0	D_D U K_H K_H I_I1
دکھیں 1.0	D_D U K_H A_Y_N
دکھے 1.0	D_D U K_H K_H A_Y
دھائی 1.0	D_D_H A_A I_I1
دھار 1.0	D_D_H A_A R
دھاندلی 1.0	D_D_H A_A N D_D L I_I1
دھاڑ 1.0	D_D_H A_A R_R
دھاگے 1.0	D_D_H A_A G A_Y
دھبے 1.0	D_D_H A B B A_Y
دھجیاں 1.0	D_D_H U D_Z D_Z I J A_A_N
دھرا 1.0	D_D_H U R A_A
دھری 1.0	D_D_H O_O R I_I1
دھل 1.0	D_D_H U L
دھماکہ 1.0	D_D_H A M A_A K A_A
دھند 1.0	D_D_H A N D_D
دھو 1.0	D_D_H O_O
دھوئیں 1.0	D_D_H O_O A_Y_N
دھوئے 1.0	D_D_H O_O A_Y
دھواں 1.0	D_D_H A V A_A_N
دھوبی 1.0	D_D_H O_O B I_I1
دھول 1.0	D_D_H U_U L
دھولیں 1.0	D_D_H O_O L A_Y_N
دھوم 1.0	D_D_H U_U M
دھونی 1.0	D_D_H U_U N I_I1
دھونے 1.0	D_D_H O_O N A_Y
دھوپ 1.0	D_D_H U_U P
دھویا 1.0	D_D_H O_O J A_A
دھویں 1.0	D_D_H O_O A_Y_N
دھچکا 1.0	D_D_H A T_S1 K A_A
دھڑام 1.0	D_D_H A R_R A_A M
دھڑلے 1.0	D_D_H A R_R A L L A_Y
دھڑے 1.0	D_D_H A R_R A_Y
دھیان 1.0	D_D_H A J A_A N
دھیرے 1.0	D_D_H I_I1 R A_Y
دھیمی 1.0	D_D_H I_I1 M I_I1
دھینگا 1.0	D_D_H I_I1 N_G G A_A
دہرانے 1.0	D_D U H R A_A N A_Y
دہرایا 1.0	D_D O_O_H H R A_A J A_A
دہشت 1.0	D_D A_E_H H S_H A T_D
دہل 1.0	D_D A_E_H H L
دہلوی 1.0	D_D A H L V I_I1
دہلی 1.0	D_D A_Y_H H L I_I1
دہندگان 1.0	D_D I H I N D_D G A_A N
دہی 1.0	D_D A H I_I1
دی 1.0	D_D I_I1
دیئے 1.0	D_D I_I1 A_Y
دیا 1.0	D_D I_I1 A_A
دیانتدار 1.0	D_D A J A_A N A T_D D_D A_A R
دیباچہ 1.0	D_D I_I1 B A_A T_S1 A_A
دیباچے 1.0	D_D I_I1 B A_A T_S1 A_Y
دیتا 1.0	D_D A_Y T_D A_A
دیتی 1.0	D_D A_Y T_D I_I1
دیتے 1.0	D_D A_Y T_D A_Y
دیجئے 1.0	D_D I_I1 D_Z I A_Y
دیر 1.0	D_D A_Y R
دیرینہ 1.0	D_D A_Y R I_I1 N A_A
دیسی 1.0	D_D A_Y S I_I1
دیش 1.0	D_D A_Y S_H
دین 1.0	D_D I_I1 N
دینا 1.0	D_D A_Y N A_A
دینے 1.0	D_D A_Y N A_Y
دیو 1.0	D_D A_E1 O_O
دیوار 1.0	D_D I_I1 V A_A R
دیوبند 1.0	D_D I J O_O B A N D_D
دیوبندی 1.0	D_D I_I1 O_O B A N D_D I_I1
دیوداس 1.0	D_D A_Y V D_D A_A S
دیول 1.0	D_D A_Y O_O L
دیومالائی 1.0	D_D A_Y V M A_A L A_A I_I1
دیوہیکل 1.0	D_D A_Y V H A_E1 K A L
دیوی 1.0	D_D A_Y V I_I1
دیکھ 1.0	D_D A_Y K_H
دیکھئے 1.0	D_D A_Y K_H I A_Y
دیکھا 1.0	D_D A_Y K_H A_A
دیکھتے 1.0	D_D A_Y K_H T_D A_Y
دیکھنے 1.0	D_D A_Y K_H N A_Y
دیکھو 1.0	D_D A_Y K_H O_O
دیکھوں 1.0	D_D A_Y K_H U_U_N
دیکھی 1.0	D_D A_Y K_H I_I1
دیکھیں 1.0	D_D A_Y K_H A_Y_N
دیکھیے 1.0	D_D A_Y K_H I_I1 A_Y
دیکھے 1.0	D_D A_Y K_H A_Y
دیگر 1.0	D_D I_I1 G A R
دیگچی 1.0	D_D A_Y G T_S1 I_I1
دیں 1.0	D_D A_Y_N
دیہاتیوں 1.0	D_D I_I1 H A_A T_D I_I1 O_O_N
دیے 1.0	D_D I_I1 A_Y
دے 1.0	D_D A_Y
ذاد 1.0	Z A_A D_D
ذادہ 1.0	Z A_A D_D A_A
ذخائر 1.0	Z A X A_A I R
ذخیرہ 1.0	Z A X I_I1 R A_A
ذریعہ 1.0	Z A R I_I1 A_A
ذریعے 1.0	Z A R I_I1 A_Y
ذوالجلال 1.0	Z U L D_Z A L A_A L
ذوالجناح 1.0	Z U L D_Z I N A_A
ذوالفقار 1.0	Z U L F I Q A_A R
ذوق 1.0	Z O Q
ذکر 1.0	Z I K R
ذہن 1.0	Z A_Y H N
ذہنی 1.0	Z I H N I_I1
ذیشان 1.0	Z I_I1 S_H A_A N
ذیل 1.0	Z A_E1 L
رؤف 1.0	R A U_U F
رئیس 1.0	R A I_I1 S
رئیل 1.0	R I_I1 A L
راؤ 1.0	R A_A O_O
راؤنڈر 1.0	R A_A U_U N D R
رائج 1.0	R A_A I D_Z
رائگاں 1.0	R A_A I G A_A_N
رائیگاں 1.0	R A_A A_Y G A_A_N
رائے 1.0	R A_A A_Y
رابطے 1.0	R A_A B I T_D A_Y
رابعہ 1.0	R A_A B I A_A
راجباہوں 1.0	R A_A D_Z B A_A H O_O_N
راجن 1.0	R A_A D_Z A N
راجیہ 1.0	R A_A D_Z J A_A
راجے 1.0	R A_A D_Z A_Y
رازداں 1.0	R A_A Z D_D A_A_N
رازق 1.0	R A_A Z I Q
راستے 1.0	R A_A S T_D A_Y
راسخ 1.0	R A_A S I X
راشد 1.0	R A_A S_H I D_D
راغب 1.0	R A_A G_G I B
رافعہ 1.0	R A_A F I A_A
راقم 1.0	R A_A Q I M
رانجھا 1.0	R A_A N D_Z_H A_A
رانجھن 1.0	R A_A N D_Z_H A N
راولا 1.0	R A_A V L A_A
راوی 1.0	R A_A V I_I1
راٹھور 1.0	R A_A T_H O_O R
راگ 1.0	R A_A G
راہبر 1.0	R A_A H B A R
راہداری 1.0	R A_A H D_D A_A R I_I1
راہو 1.0	R A_A H U_U
راہگیر 1.0	R A_A H G I_I1 R
رباب 1.0	R U B A_A B
ربیعہ 1.0	R A B I_I1 A_A
رتھ 1.0	R A T_D_H
رجحان 1.0	R U D_Z H A_A N
رجسٹریشن 1.0	R A D_Z I S T A R A_Y S_H A N
رجوع 1.0	R U D_Z U_U
رحم 1.0	R A H M
رحمت 1.0	R A H M A T_D
رحیل 1.0	R A H I_I1 L
رحیم 1.0	R A H I_I1 M
رخ 1.0	R U X
رخساروں 1.0	R U X S A_A R O_O_N
رخشندہ 1.0	R A X S_H A N D_D A_A
رخصت 1.0	R U X S A T_D
رخنہ 1.0	R A X N A_A
رخوں 1.0	R U X O_O_N
ردعمل 1.0	R A D_D D_D A_Y A M A L
ردیف 1.0	R A D_D I_I1 F
رزاق 1.0	R A Z Z A_A Q
رزق 1.0	R I Z Q
رزلٹ 1.0	R I Z A L T
رساؤ 1.0	R A S A_A O_O
رسوئی 1.0	R A S O_O I_I1
رسوائی 1.0	R U S V A_A I_I1
رسول 1.0	R A S U_U L
رسولی 1.0	R A S O_O L I_I1
رسیا 1.0	R A S J A_A
رسیدہ 1.0	R A S I_I1 D_D A_A
رشدی 1.0	R U S_H D_D I_I1
رشید 1.0	R A S_H I_I1 D_D
رضا 1.0	R A Z A_A
رضوان 1.0	R I Z V A_A N
رضوی 1.0	R I Z V I_I1
رعائتیں 1.0	R I A_A A_Y T_D A_Y_N
رعایت 1.0	R I A_A J A T_D
رعشہ 1.0	R A A S_H A_A
رعیت 1.0	R A Y I J A T_D
رغبت 1.0	R A G_G B A T_D
رفتار 1.0	R A F T_D A_A R
رفعت 1.0	R I F A T_D
رفو 1.0	R A F U_U
رفیعہ 1.0	R A F I_I1 A_A
رفیق 1.0	R A F I_I1 Q
رفیوجی 1.0	R I F I J U_U D_Z I_I1
رقاصاؤں 1.0	R A Q Q A_A S A_A O_O_N
رقص 1.0	R A Q S
رقصاں 1.0	R A Q S A_A_N
رقم 1.0	R A Q A M
رقوم 1.0	R U Q U_U M
رقیب 1.0	R A Q I_I1 B
رقیہ 1.0	R U Q J A_A
رم 1.0	R A M
رمزی 1.0	R A M Z I_I1
رنجش 1.0	R A N D_Z I S_H
رنجیدہ 1.0	R A N D_Z I_I1 D_D A_A
رندھاوا 1.0	R A N D_D_H A_A V A_A
رنز 1.0	R A N Z
رنگ 1.0	R A N_G
رنگوں 1.0	R A N_G G O_O_N
رنگیلا 1.0	R A N_G G I_I1 L A_A
رنگین 1.0	R A N_G G I_I1 N
رو 1.0	R O_O
روؤں 1.0	R U_U O_O_N
روئی 1.0	R O_O I_I1
روئیداد 1.0	R U_U I_I1 D_D A_A D_D
روئیں 1.0	R O_O A_Y_N
روات 1.0	R U V A_A T_D
رواں 1.0	R A V A_A_N
روایت 1.0	R I V A_A J A T_D
روحانی 1.0	R U_U H A_A N I_I1
روحیں 1.0	R U_U H A_Y_N
رود 1.0	R O_O D_D
روز 1.0	R O_O Z
روزافزوں 1.0	R O_O Z A F Z U_U_N
روزانہ 1.0	R O_O Z A_A N A_A
روزبروز 1.0	R O_O Z B A R O_O Z
روزمرہ 1.0	R O_O Z M A R R A_A
روزنامہ 1.0	R O_O Z N A_A M A_A
روزوں 1.0	R O_O Z O_O_N
روزگار 1.0	R O_O Z G A_A R
روزہ 1.0	R O_O Z A_A
روزے 1.0	R O_O Z A_Y
روسی 1.0	R U_U S I_I1
روش 1.0	R A V I S_H
روشن 1.0	R O S_H A N
روشناس 1.0	R U_U S_H A N A_A S
روشنی 1.0	R O_O S_H N I_I1
روشنیوں 1.0	R O_O S_H N I_I1 O_O_N
روضہ 1.0	R U_U Z A_A
روضے 1.0	R U_U Z A_Y
روغن 1.0	R O_O G_G A N
روغنیات 1.0	R O G_G A N J A_A T_D
رول 1.0	R O_O L
رولز 1.0	R O_O L Z
رونق 1.0	R O N A Q
رونگٹے 1.0	R U_U N_G T A_Y
رونے 1.0	R O_O N A_Y
روور 1.0	R U_U V A R
روٹھ 1.0	R U_U T_H
روٹھیں 1.0	R U_U T_H A_Y_N
روپے 1.0	R U_U P A_Y
روڈ 1.0	R O_O D
روگردانی 1.0	R U_U G A R D_D A_A N I_I1
روہی 1.0	R O_O H I_I1
رویا 1.0	R U_U J A_A
رویت 1.0	R U_U J A T_D
رویوں 1.0	R A V A J J O_O_N
رویہ 1.0	R A V A I_I1 J A_A
رویے 1.0	R A V A J J A_Y
روے 1.0	R U_U A_Y
رپورتاژ 1.0	R A P O_O R T_D A_A Z_Z
رپورٹ 1.0	R I P O_O R T
رچاؤ 1.0	R A T_S1 A_A O_O
رکن 1.0	R U K A N
رکھ 1.0	R A K_H
رکھا 1.0	R A K K_H A_A
رکھاؤ 1.0	R A K_H A_A O_O
رکھتا 1.0	R A K_H T_D A_A
رکھتے 1.0	R A K_H T_D A_Y
رکھنے 1.0	R A K_H N A_Y
رکھو 1.0	R A K_H O_O
رکھوا 1.0	R A K_H V A_A
رکھوں 1.0	R A K_H U_U_N
رکھی 1.0	R A K K_H I_I1
رکھیو 1.0	R A K K_H I J O
رکھیں 1.0	R A K K_H A_Y_N
رکھیے 1.0	R A K_H J A_Y
رکھے 1.0	R A K K_H A_Y
رگ 1.0	R A G
رگڑیں 1.0	R A G R_R A_Y_N
رہ 1.0	R A H
رہا 1.0	R A H A_A
رہائش 1.0	R A H A_A I S_H
رہائشی 1.0	R A H A_A I S_H I_I1
رہتے 1.0	R A H T_D A_Y
رہزنی 1.0	R A H Z A N I_I1
رہنما 1.0	R A H N U M A_A
رہنماؤں 1.0	R A H N U M A_A O_O_N
رہو 1.0	R A H U_U
رہی 1.0	R A H I_I1
رہیں 1.0	R A H A_Y_N
رہے 1.0	R A H A_Y
ریاست 1.0	R I_I1 A_A S A T_D
ریاض 1.0	R I J A_A Z
ریان 1.0	R A_E1 J A_A N
ریجنل 1.0	R I_I1 D_Z N A L
ریحانہ 1.0	R A_E1 H A_A N A_A
ریزرو 1.0	R I_I1 Z A R V
ریزروز 1.0	R I_I1 Z A R V Z
ریزولوشن 1.0	R A_E1 Z O_O L U_U S_H A N
ریسرچ 1.0	R I_I1 S A R T_S1
ریسلینگ 1.0	R A_E1 S L I N_G
ریسورس 1.0	R I_I1 S O_O R S
ریسٹورنٹ 1.0	R A_E1 S T U_U R A N T
ریسپشنسٹ 1.0	R I_I1 S P A S_H N I S T
ریسکیو 1.0	R A_E1 S K I J U_U
ریسیور 1.0	R I_I1 S I_I1 V A R
ریشمی 1.0	R A_Y S_H M I_I1
ریشوں 1.0	R A_Y S_H O_O_N
ریفرنڈم 1.0	R A_E1 F R A N D A M
ریلی 1.0	R A_E1 L I_I1
ریلیز 1.0	R I_I1 L I_I1 Z
ریلیف 1.0	R I_I1 L I_I1 F
ریلیکس 1.0	R I_I1 L A_E1 K S
ریمبو 1.0	R A_E1 M B O_O
رینجرز 1.0	R A_Y N D_Z A R Z
رینگتی 1.0	R I_I1 N_G T_D I_I1
رینگتے 1.0	R I_I1 N_G T_D A_Y
ریورس 1.0	R I_I1 V A R S
ریونیو 1.0	R A_E1 V I N I J U_U
ریوڑ 1.0	R A_Y V A R_R
ریٹائرمنٹ 1.0	R I_I1 T A_A A_Y R M A_Y N T
ریٹائرڈ 1.0	R I_I1 T A_A A_Y R D
ریچھ 1.0	R I_I1 T_S_H
ریچھوں 1.0	R I_I1 T_S_H O_O_N
ریڈ 1.0	R A_Y D
ریڈیو 1.0	R A_Y D J O_O
ریڑھ 1.0	R I_I1 R_R_H
ریڑھی 1.0	R A_Y R_R_H I_I1
ریڑھیاں 1.0	R A_Y R_R_H I J A_A_N
ریکارڈ 1.0	R A_Y K A_A R D
ریگن 1.0	R A_Y G A N
ریگولر 1.0	R A_E1 G U_U L A R
زائد 1.0	Z A_A I D_D
زاویوں 1.0	Z A_A V I_I1 O_O_N
زاید 1.0	Z A_A J I D_D
زباں 1.0	Z U B A_A_N
زبردست 1.0	Z A B A R D_D A S T_D
زبوں 1.0	Z A B U_U_N
زخمی 1.0	Z A X M I_I1
زدہ 1.0	Z A D_D A_A
زراعت 1.0	Z I R A_A A T_D
زرخیز 1.0	Z A R X A_Y Z
زرقاوی 1.0	Z A R Q A_A V I_I1
زرمبادلہ 1.0	Z A R A_Y M U B A_A D_D A L A_A
زعما 1.0	Z U A M A_A
زلزلے 1.0	Z A L Z A L A_Y
زلفوں 1.0	Z U L F O_O_N
زلفی 1.0	Z U L F I_I1
زلفیں 1.0	Z U L F A_Y_N
زلیخا 1.0	Z U L A_E1 X A_A
زمرے 1.0	Z U M R A_Y
زمین 1.0	Z A M I_I1 N
زمینداروں 1.0	Z A M I_I_N D_D A_A R O_O_N
زنجیر 1.0	Z A N D_Z I_I1 R
زنخوں 1.0	Z A N X O_O_N
زندگی 1.0	Z I N D_D A G I_I1
زنگ 1.0	Z A N_G
زوار 1.0	Z A V A_A R
زوال 1.0	Z A V A_A L
زوجہ 1.0	Z O D_Z A_A
زوجیت 1.0	Z O D_Z I_I1 J A T_D
زوجین 1.0	Z O D_Z A_E1 N
زود 1.0	Z U_U D_D
زودحس 1.0	Z U_U D_D H I S
زور 1.0	Z O_O R
زوردار 1.0	Z O_O R D_D A_A R
زون 1.0	Z O_O N
زچ 1.0	Z I T_S1
زچگی 1.0	Z A T_S1 G I_I1
زہریلی 1.0	Z A_E_H H R I_I1 L I_I1
زیادہ 1.0	Z I J A_A D_D A_A
زیب 1.0	Z A_Y B
زیبرا 1.0	Z A_E1 B R A_A
زیدی 1.0	Z A_E1 D_D I_I1
زیر 1.0	Z A_Y R
زیرآب 1.0	Z A_Y R A_Y A_A B
زیراستعمال 1.0	Z A_Y R A_Y I S T_D I M A_A L
زیرانتظام 1.0	Z A_Y R A_Y I N T_D I Z A_A M
زیراہتمام 1.0	Z A_Y R A_Y I H T_D I M A_A M
زیردست 1.0	Z A_Y R D_D A S T_D
زیرعنوان 1.0	Z A_Y R A_Y U N V A_A N
زیرغور 1.0	Z A_Y R A_Y G_G O R
زیرقیادت 1.0	Z A_Y R A_Y Q I J A_A D_D A T_D
زیریں 1.0	Z A_Y R I_I_N
زیست 1.0	Z I_I1 S T_D
زین 1.0	Z I_I1 N
زیور 1.0	Z A_Y V A R
زیورات 1.0	Z A_Y V R A_A T_D
زیڈ 1.0	Z A_E1 D
ساؤتھ 1.0	S A_A U_U T_D_H
ساؤڑی 1.0	S A_A U_U R_R I_I1
سائبان 1.0	S A_A A_Y B A_A N
سائبرپیڈیا 1.0	S A_A I B A R P A_Y D I J A_A
سائنسدانوں 1.0	S A_A I N S D_D A_A N O_O_N
سائیڈ 1.0	S A_A I_I1 D
سائیکل 1.0	S A_A I_I1 K A L
سائیں 1.0	S A_A I_I_N
سائے 1.0	S A_A A_Y
سابق 1.0	S A_A B I Q
ساتویں 1.0	S A_A T_D V A_Y_N
ساتھ 1.0	S A_A T_D_H
ساتھی 1.0	S A_A T_D_H I_I1
ساتھیو 1.0	S A_A T_D_H I_I1 O_O
ساتھیوں 1.0	S A_A T_D_H I_I1 O_O_N
ساجد 1.0	S A_A D_Z I D_D
ساحل 1.0	S A_A H I L
ساخت 1.0	S A_A X T_D
ساختہ 1.0	S A_A X T_D A_A
سادھو 1.0	S A_A D_D_H U_U
سارز 1.0	S A_A R Z
ساری 1.0	S A_A R I_I1
ساریو 1.0	S A_A R J O_O
ساز 1.0	S A_A Z
سازباز 1.0	S A_A Z B A_A Z
سازوسامان 1.0	S A_A Z O_O S A_A M A_A N
سازگار 1.0	S A_A Z G A_A R
ساعت 1.0	S A_A A T_D
ساغر 1.0	S A_A G_G A R
سال 1.0	S A_A L
سالمیت 1.0	S A_A L I M I_I1 J A T_D
سالگرہ 1.0	S A_A L G I R A_A
سالہ 1.0	S A_A L A_A
سالہاسال 1.0	S A_A L H A_A S A_A L
سامان 1.0	S A_A M A_A N
سامعین 1.0	S A_A M A_Y I_I1 N
سامنے 1.0	S A_A M N A_Y
سانحوں 1.0	S A_A N I H O_O_N
سانحے 1.0	S A_A N I H A_Y
سانسوں 1.0	S A_A_N S O_O_N
سانسیں 1.0	S A_A_N S A_Y_N
سانولے 1.0	S A_A N V L A_Y
سانگی 1.0	S A_A N_G G I_I1
ساٹھویں 1.0	S A_A T_H V A_Y_N
ساڑھے 1.0	S A_A R_R_H A_Y
ساگر 1.0	S A_A G A R
سایہ 1.0	S A_A J A_A
سب 1.0	S A B
سبب 1.0	S A B A B
سبجیکٹ 1.0	S A B D_Z A_E1 K T
سبز 1.0	S A B Z
سبزواری 1.0	S A B Z V A_A R I_I1
سبزی 1.0	S A B Z I_I1
سبزیوں 1.0	S A B Z I_I1 J O_O_N
سبسڈی 1.0	S A B S A D I_I1
سبھا 1.0	S A B_H A_A
ستانویں 1.0	S A T_D T_D A_A N V A_Y_N
سترھویں 1.0	S U T_D_H A R V A_Y_N
ستھرا 1.0	S U T_D_H R A_A
ستھرے 1.0	S U T_D_H R A_Y
سجاتے 1.0	S A D_Z A_A T_D A_Y
سجاد 1.0	S A D_Z D_Z A_A D_D
سجدہ 1.0	S A D_Z D_D A_A
سجھائی 1.0	S U D_Z_H A_A I_I1
سجی 1.0	S A D_Z I_I1
سحر 1.0	S A H R
سخت 1.0	S A X T_D
سخن 1.0	S U X A N
سدباب 1.0	S A D_D D_D A_Y B A_A B
سدھ 1.0	S U D_D_H
سدھریں 1.0	S U D_D_H R A_Y_N
سدھو 1.0	S U D_D_H D_D_H U_U
سدھیر 1.0	S U D_D_H A_Y R
سربراہ 1.0	S A R B A R A_A
سرحد 1.0	S A R H A D_D
سرخ 1.0	S U R X
سرخرو 1.0	S U R X R U_U
سرخی 1.0	S U R X I_I1
سرخیل 1.0	S A R X I_I1 L
سردخانے 1.0	S A R D_D X A_A N A_Y
سرزمین 1.0	S A R Z A M I_I1 N
سرعام 1.0	S A R A_Y A_A M
سرفراز 1.0	S A R F A R A_A Z
سرفہرست 1.0	S A R A_Y F A H R I S T_D
سرمایے 1.0	S A R M A_A J A_Y
سرنجیں 1.0	S A R I N D_Z A_Y_N
سرور 1.0	S A R U_U R
سروس 1.0	S A R V I S
سرونٹ 1.0	S A R V A N T
سروں 1.0	S A R O_O_N
سرویئر 1.0	S A R V I_I1 A R
سروے 1.0	S A R V A_Y
سرکا 1.0	S A R K A_A
سرکاری 1.0	S A R K A_A R I_I1
سرگرمیوں 1.0	S A R G A R M I_I1 O_O_N
سرہندی 1.0	S A R H I N D_D I_I1
سزا 1.0	S A Z A_A
سزائیں 1.0	S A Z A_A A_Y_N
سست 1.0	S U S T_D
سسرال 1.0	S U S R A_A L
سسٹم 1.0	S I S T A M
سعادت 1.0	S A A_A D_D A T_D
سعودی 1.0	S A U_U D_D I_I1
سعید 1.0	S A I_I1 D_D
سفر 1.0	S A F A R
سفوف 1.0	S U F U_U F
سفید 1.0	S A F I_I1 D_D
سفیدی 1.0	S U F A_E1 D_D I_I1
سفیدے 1.0	S A F A_E1 D_D A_Y
سفیر 1.0	S A F I_I1 R
سقوط 1.0	S U Q U_U T_D
سلائیڈنگ 1.0	S A L A_A I_I1 D I N_G
سلجھائیں 1.0	S U L D_Z_H A_A A_Y_N
سلسلے 1.0	S I L S I L A_Y
سلطان 1.0	S U L T_D A_A N
سلفیٹ 1.0	S A L F A_E1 T
سلور 1.0	S A L U_U R
سلوک 1.0	S U L U_U K
سلیولائیٹ 1.0	S I L J O_O L A_A I_I1 T
سماجی 1.0	S A M A_A D_Z I_I1
سماوی 1.0	S A M A_A V I_I1
سمتھ 1.0	S A M I T_D_H
سمجھ 1.0	S A M A D_Z_H
سمجھا 1.0	S A M D_Z_H A_A
سمجھائیں 1.0	S A M D_Z_H A_A A_Y_N
سمجھائے 1.0	S A M D_Z_H A_A A_Y
سمجھانے 1.0	S A M D_Z_H A_A N A_Y
سمجھایا 1.0	S A M D_Z_H A_A J A_A
سمجھتے 1.0	S A M A D_Z_H T_D A_Y
سمجھدار 1.0	S A M A D_Z_H D_D A_A R
سمجھنے 1.0	S A M A D_Z_H N A_Y
سمجھو 1.0	S A M D_Z_H O_O
سمجھوتہ 1.0	S A M D_Z_H O_O T_D A_A
سمجھی 1.0	S A M D_Z_H I_I1
سمجھیں 1.0	S A M D_Z_H A_Y_N
سمجھے 1.0	S A M D_Z_H A_Y
سمفنی 1.0	S I M F A N I_I1
سموئے 1.0	S A M O_O A_Y
سموسے 1.0	S A M O_O S A_Y
سمویا 1.0	S A M O_O J A_A
سمگلروں 1.0	S A M A G L A R O_O_N
سمگلنگ 1.0	S I M A G L I N_G
سمیت 1.0	S A M I_I1 T_D
سن 1.0	S A N
سنئے 1.0	S U N J A_Y
سنائی 1.0	S U N A_A I_I1
سنایا 1.0	S U N A_A J A_A
سنبھال 1.0	S A M B_H A_A L
سنبھل 1.0	S A M B_H A L
سنبھلی 1.0	S A M B_H L I_I1
سنتا 1.0	S U N T_D A_A
سندھو 1.0	S A N D_D_H U_U
سندھی 1.0	S I N D_D_H I_I1
سندھیوں 1.0	S I N D_D_H I_I1 O_O_N
سنو 1.0	S U N O_O
سنوارا 1.0	S A_A_N V A_A R A_A
سنور 1.0	S A_A_N V A R
سنٹر 1.0	S I N T A R
سنچری 1.0	S A N T_S1 R I_I1
سنچریاں 1.0	S A_Y N T_S1 A R J A_A_N
سنگباری 1.0	S A N_G B A_A R I_I1
سنگسار 1.0	S A N_G S A_A R
سنگل 1.0	S A N_G G A L
سنگھ 1.0	S I N_G G_H
سنگھار 1.0	S I N_G G_H A_A R
سنگھاسن 1.0	S I N_G G_H A_A S A N
سنگھاڑے 1.0	S I N_G G_H A_A R_R A_Y
سنگین 1.0	S A N_G I_I1 N
سنیں 1.0	S U N A_Y_N
سنے 1.0	S U N A_Y
سو 1.0	S O_O
سوئس 1.0	S O_O I S
سوئفٹ 1.0	S U_U I F T
سوئم 1.0	S O_O I M
سوئمنگ 1.0	S U_U I M I N_G
سوئنگ 1.0	S U_U I N_G
سوئٹرز 1.0	S U_U A_Y T A R Z
سوئچ 1.0	S U_U I T_S1
سوئی 1.0	S O_O I_I1
سوئیوں 1.0	S U_U I_I1 O_O_N
سوئیں 1.0	S O_O A_Y_N
سوئے 1.0	S O_O A_Y
سوا 1.0	S A V A_A
سوال 1.0	S A V A_A L
سوبرز 1.0	S O_O B A R Z
سوجن 1.0	S U_U D_Z A N
سوجنے 1.0	S U_U D_Z N A_Y
سوجھ 1.0	S U_U D_Z_H
سوجھی 1.0	S U_U D_Z_H I_I1
سوجی 1.0	S U_U D_Z I_I1
سوختہ 1.0	S O_O X T_D A_A
سود 1.0	S U_U D_D
سودا 1.0	S O D_D A_A
سوراخ 1.0	S U_U R A_A X
سورج 1.0	S U_U R A D_Z
سورما 1.0	S U_U R M A_A
سوری 1.0	S O R I_I1
سوزش 1.0	S O_O Z I S_H
سوزوکی 1.0	S U_U Z U_U K I_I1
سوسائٹی 1.0	S O_O S A_A I T I_I1
سوسو 1.0	S O S O
سوشل 1.0	S O_O S_H A L
سوشلزم 1.0	S O_O S_H A L I Z M
سوغات 1.0	S O_O G_G A_A T_D
سول 1.0	S O_O L
سولجر 1.0	S O_O L D_Z A R
سولنگ 1.0	S O L I N_G
سوم 1.0	S I V U M
سومرو 1.0	S O_O M R O_O
سونامی 1.0	S U_U N A_A M I_I1
سونف 1.0	S O N F
سونپی 1.0	S O M P I_I1
سونگ 1.0	S O_O N_G
سونگھنے 1.0	S U_U N G_H N A_Y
